iter	RMSE
923	75920.78703
924	75917.24438
925	75912.08171
926	75907.8194
927	75901.98323
928	75901.9725
929	75893.83164
930	75889.60354
931	75884.08019
932	75876.58993
933	75870.17522
934	75861.53717
935	75857.35011
936	75851.9652
937	75848.56167
938	75846.28016
939	75840.01286
940	75837.60867
941	75834.81947
942	75833.82444
943	75830.02573
944	75826.98708
945	75822.43849
946	75818.32273
947	75814.28947
948	75810.67894
949	75805.31823
950	75799.57651
951	75796.56318
952	75790.81337
953	75786.78424
954	75783.96757
955	75777.91835
956	75774.90523
957	75770.35805
958	75765.09033
959	75761.78817
960	75756.48762
961	75750.97796
962	75743.89443
963	75738.56603
964	75733.99315
965	75728.6531
966	75725.26439
967	75718.09225
968	75715.52565
969	75710.78706
970	75708.06633
971	75704.33118
972	75697.76167
973	75692.30839
974	75687.65068
975	75682.98427
976	75679.82153
977	75677.3699
978	75673.05035
979	75669.54429
980	75664.39337
981	75660.96127
982	75655.62381
983	75649.58796
984	75644.47889
985	75641.5367
986	75636.40196
987	75631.77653
988	75629.92024
989	75624.07568
990	75620.19614
991	75615.24568
992	75609.67585
993	75606.66461
994	75602.11437
995	75596.20645
996	75594.53349
997	75589.55606
998	75583.61667
999	75575.66149
